timestamp,event_type,label_mode,gesture_detected,action_sent,lock_state,roi_coords,fps
2026-03-28T23:58:56.733366,ACTION_SENT,open_palm,Two Fingers (10/10) | 99.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",11
2026-03-28T23:59:01.080582,ACTION_SENT,open_palm,Two Fingers (10/10) | 98.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",14
2026-03-28T23:59:08.153729,ACTION_SENT,open_palm,Open Palm (10/10) | 71.0% (Unknown),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",14
2026-03-28T23:59:12.381176,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",14
2026-03-28T23:59:13.548538,ACTION_SENT,open_palm,Two Fingers (10/10) | 98.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",13
2026-03-28T23:59:17.359977,ACTION_SENT,open_palm,Two Fingers (10/10) | 99.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",14
2026-03-28T23:59:21.202794,ACTION_SENT,open_palm,Two Fingers (10/10) | 97.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",13
2026-03-28T23:59:25.356818,ACTION_SENT,open_palm,Two Fingers (10/10) | 97.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",12
2026-03-28T23:59:29.708754,ACTION_SENT,open_palm,Two Fingers (10/10) | 96.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",11
2026-03-28T23:59:33.664336,ACTION_SENT,open_palm,Two Fingers (10/10) | 94.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",14
2026-03-28T23:59:43.455028,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",11
2026-03-29T00:02:28.727268,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-03-29T00:03:52.911792,LOCK_CHANGE,open_palm,No hand detected | N/A,None,False,"(160,80,480,400)",14
2026-03-29T00:03:56.083565,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",15
2026-03-29T00:08:18.353784,ACTION_SENT,open_palm,Open Palm (10/10) | 81.0% (two_fingers),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",12
2026-03-29T00:08:40.545609,ACTION_SENT,open_palm,Open Palm (10/10) | 90.0% (two_fingers),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",13
2026-03-29T00:08:44.124159,ACTION_SENT,open_palm,Two Fingers (10/10) | 89.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",13
2026-03-29T00:08:57.198470,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",13
2026-04-07T16:03:56.666827,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-04-07T19:02:11.496566,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-04-07T19:03:45.005892,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-04-07T19:03:53.522926,LOCK_CHANGE,open_palm,No hand detected | N/A,None,False,"(160,80,480,400)",22
2026-04-07T19:03:56.711054,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",16
2026-04-07T19:04:01.585647,ACTION_SENT,open_palm,Open Palm (10/10) | 76.0% (two_fingers),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",15
2026-04-07T19:04:03.137995,ACTION_SENT,open_palm,Open Palm (10/10) | 72.0% (Unknown),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",13
2026-04-07T19:04:09.683898,ACTION_SENT,open_palm,Two Fingers (10/10) | 100.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",15
2026-04-07T19:04:11.251053,ACTION_SENT,open_palm,Two Fingers (10/10) | 100.0% (two_fingers),SKIP FWD 10s ('l'),False,"(160,80,480,400)",10
2026-04-07T19:04:14.857166,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",15
2026-04-07T19:04:21.760675,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",17
2026-04-07T19:04:29.581008,ACTION_SENT,open_palm,Open Palm (10/10) | 65.0% (Unknown),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",22
2026-04-07T19:04:40.305158,ACTION_SENT,open_palm,Open Palm (10/10) | 73.0% (Unknown),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",21
2026-04-07T19:04:43.253600,ACTION_SENT,open_palm,Open Palm (10/10) | 75.0% (two_fingers),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",18
2026-04-07T19:04:50.043157,ACTION_SENT,open_palm,Open Palm (10/10) | 77.0% (fist),PLAY/PAUSE SENT ('k'),False,"(160,80,480,400)",21
2026-04-07T19:04:55.074506,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",20
2026-04-07T19:05:15.948920,ACTION_SENT,open_palm,No hand detected | N/A,AUTO-PAUSE SENT,False,"(160,80,480,400)",21
2026-04-09T15:07:09.743223,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-04-09T15:08:04.473666,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-04-09T15:13:43.816835,STARTUP,open_palm,None | N/A,None,True,"(160,80,480,400)",0
2026-04-09T15:50:16.777663,STARTUP,None | N/A,None,True,0
